Mano,Probabilidad,Puntos_de_juego,Pares
SS4A,0.002100886311412627,25,Par
CC7A,0.002100886311412627,28,Par
RSS5,0.002100886311412627,35,Par
SS6A,0.002100886311412627,27,Par
RCC5,0.002100886311412627,35,Par
SS7A,0.002100886311412627,28,Par
CCSA,0.002100886311412627,31,Par
665A,0.002100886311412627,18,Par
S77A,0.002100886311412627,25,Par
R766,0.002100886311412627,29,Par
R554,0.002100886311412627,24,Par
RCC6,0.002100886311412627,36,Par
RS77,0.002100886311412627,34,Par
RSS4,0.002100886311412627,34,Par
RS44,0.002100886311412627,28,Par
RS55,0.002100886311412627,30,Par
C44A,0.002100886311412627,19,Par
544A,0.002100886311412627,14,Par
C55A,0.002100886311412627,21,Par
R664,0.002100886311412627,26,Par
R776,0.002100886311412627,30,Par
744A,0.002100886311412627,16,Par
R775,0.002100886311412627,29,Par
RCSS,0.002100886311412627,40,Par
644A,0.002100886311412627,15,Par
774A,0.002100886311412627,19,Par
66AA,0.001838275522486049,14,Duples
77AA,0.001838275522486049,16,Duples
RRCC,0.001838275522486049,40,Duples
RR44,0.001838275522486049,28,Duples
RR77,0.001838275522486049,34,Duples
RR55,0.001838275522486049,30,Duples
RR66,0.001838275522486049,32,Duples
44AA,0.001838275522486049,10,Duples
CCAA,0.001838275522486049,22,Duples
55AA,0.001838275522486049,12,Duples
SSAA,0.001838275522486049,22,Duples
RRSS,0.001838275522486049,40,Duples
CSS4,0.0010504431557063136,34,Par
CCS6,0.0010504431557063136,36,Par
C776,0.0010504431557063136,30,Par
S766,0.0010504431557063136,29,Par
6544,0.0010504431557063136,19,Par
CS44,0.0010504431557063136,28,Par
CC54,0.0010504431557063136,29,Par
S774,0.0010504431557063136,28,Par
7644,0.0010504431557063136,21,Par
7554,0.0010504431557063136,21,Par
SS74,0.0010504431557063136,31,Par
C755,0.0010504431557063136,27,Par
S664,0.0010504431557063136,26,Par
C766,0.0010504431557063136,29,Par
CSS7,0.0010504431557063136,37,Par
S776,0.0010504431557063136,30,Par
C665,0.0010504431557063136,27,Par
S655,0.0010504431557063136,26,Par
7655,0.0010504431557063136,23,Par
C554,0.0010504431557063136,24,Par
C774,0.0010504431557063136,28,Par
CCS5,0.0010504431557063136,35,Par
7765,0.0010504431557063136,25,Par
CSS6,0.0010504431557063136,36,Par
CCS4,0.0010504431557063136,34,Par
CC76,0.0010504431557063136,33,Par
SS54,0.0010504431557063136,29,Par
C744,0.0010504431557063136,25,Par
S665,0.0010504431557063136,27,Par
S554,0.0010504431557063136,24,Par
SS75,0.0010504431557063136,32,Par
CC74,0.0010504431557063136,31,Par
CSS5,0.0010504431557063136,35,Par
C655,0.0010504431557063136,26,Par
CS66,0.0010504431557063136,32,Par
SS64,0.0010504431557063136,30,Par
CCS7,0.0010504431557063136,37,Par
CC75,0.0010504431557063136,32,Par
S755,0.0010504431557063136,27,Par
S644,0.0010504431557063136,24,Par
6654,0.0010504431557063136,21,Par
SS65,0.0010504431557063136,31,Par
S744,0.0010504431557063136,25,Par
7665,0.0010504431557063136,24,Par
C544,0.0010504431557063136,23,Par
7764,0.0010504431557063136,24,Par
S544,0.0010504431557063136,23,Par
CC64,0.0010504431557063136,30,Par
6554,0.0010504431557063136,20,Par
7664,0.0010504431557063136,23,Par
SS76,0.0010504431557063136,33,Par
7754,0.0010504431557063136,23,Par
C664,0.0010504431557063136,26,Par
C775,0.0010504431557063136,29,Par
CS77,0.0010504431557063136,34,Par
C644,0.0010504431557063136,24,Par
CS55,0.0010504431557063136,30,Par
S775,0.0010504431557063136,29,Par
7544,0.0010504431557063136,20,Par
CC65,0.0010504431557063136,31,Par
AAAA,0.000765948134369187,4,Duples
RRRR,0.000765948134369187,40,Duples
SS77,0.0003939161833898676,34,Duples
CC55,0.0003939161833898676,30,Duples
SS66,0.0003939161833898676,32,Duples
6655,0.0003939161833898676,22,Duples
SS55,0.0003939161833898676,30,Duples
CC44,0.0003939161833898676,28,Duples
6644,0.0003939161833898676,20,Duples
CC77,0.0003939161833898676,34,Duples
CC66,0.0003939161833898676,32,Duples
CCSS,0.0003939161833898676,40,Duples
7744,0.0003939161833898676,22,Duples
SS44,0.0003939161833898676,28,Duples
7766,0.0003939161833898676,26,Duples
5544,0.0003939161833898676,18,Duples
7755,0.0003939161833898676,24,Duples
666A,0.0003501477185687712,19,Medias
R555,0.0003501477185687712,25,Medias
777A,0.0003501477185687712,22,Medias
R444,0.0003501477185687712,22,Medias
R777,0.0003501477185687712,31,Medias
